id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
32,2014-12-04,0.5,7.418,2.2,0.086,2,1
33,2014-12-05,41.0,31.336,14.0,0.363,2,1
34,2014-12-06,1.5,94.592,38.8,1.095,2,1
35,2014-12-07,18.0,49.603,14.6,0.574,2,1
38,2014-12-10,0.0,34.532,19.3,0.4,4,2
39,2014-12-11,29.0,99.965,32.8,1.157,4,2
40,2014-12-12,8.0,67.612,34.0,0.783,4,2
41,2014-12-13,1.5,49.504,12.9,0.573,4,2
63,2015-01-04,0.0,19.304,113.4,0.223,8,3
64,2015-01-05,8.5,243.025,69.8,2.813,8,3
65,2015-01-06,0.5,140.71,42.7,1.629,8,3
169,2015-04-20,2.0,43.29,29.2,0.501,21,4
170,2015-04-21,57.0,656.33,89.5,7.596,21,4
171,2015-04-22,23.5,1962.263,72.2,22.711,21,4
172,2015-04-23,23.5,1725.811,39.7,19.975,21,4
173,2015-04-24,5.0,1450.859,33.2,16.792,21,4
174,2015-04-25,0.0,297.09,15.1,3.439,21,4
408,2016-01-04,15.0,11.45,3.6,0.133,42,5
409,2016-01-05,5.0,20.247,4.4,0.234,42,5
410,2016-01-06,25.0,155.045,30.8,1.795,42,5
411,2016-01-07,6.5,101.261,17.0,1.172,42,5
412,2016-01-08,0.0,43.573,6.3,0.504,42,5
419,2016-01-15,11.5,6.494,2.3,0.075,43,6
420,2016-01-16,26.5,183.416,26.3,2.123,43,6
421,2016-01-17,1.0,33.417,4.8,0.387,43,6
425,2016-01-21,0.0,9.695,2.5,0.112,44,7
426,2016-01-22,36.0,144.447,28.6,1.672,44,7
427,2016-01-23,19.0,205.659,45.7,2.38,44,7
428,2016-01-24,0.0,117.156,18.8,1.356,44,7
433,2016-01-29,2.0,25.441,4.4,0.294,45,8
434,2016-01-30,25.0,132.303,72.4,1.531,45,8
434,2016-01-30,25.0,132.303,72.4,1.531,46,9
435,2016-01-31,3.5,30.164,12.8,0.349,46,9
439,2016-02-04,1.5,12.342,4.3,0.143,47,10
440,2016-02-05,21.0,89.694,21.5,1.038,47,10
560,2016-06-04,2.0,2.509,2.3,0.029,53,11
561,2016-06-05,36.5,107.858,45.9,1.248,53,11
562,2016-06-06,38.0,398.096,57.7,4.608,53,11
563,2016-06-07,0.5,211.632,24.7,2.449,53,11
575,2016-06-19,9.5,38.703,11.3,0.448,56,12
576,2016-06-20,25.0,223.18,26.6,2.583,56,12
577,2016-06-21,2.5,343.551,24.9,3.976,56,12
578,2016-06-22,0.0,87.291,9.1,1.01,56,12
579,2016-06-23,4.0,73.459,7.7,0.85,56,12
594,2016-07-08,0.0,29.317,2.4,0.339,60,13
595,2016-07-09,14.5,107.542,42.0,1.245,60,13
596,2016-07-10,0.5,74.473,22.5,0.862,60,13
606,2016-07-20,1.0,24.671,0.3,0.286,63,14
607,2016-07-21,41.0,571.863,71.3,6.619,63,14
608,2016-07-22,0.0,206.636,14.4,2.392,63,14
609,2016-07-23,13.5,92.043,6.7,1.065,63,14
610,2016-07-24,5.5,187.02,61.7,2.165,63,14
611,2016-07-25,0.0,74.669,5.7,0.864,63,14
612,2016-07-26,1.5,66.757,5.3,0.773,63,14
619,2016-08-02,0.5,29.98,1.0,0.347,65,15
620,2016-08-03,25.5,93.225,20.4,1.079,65,15
621,2016-08-04,2.0,134.018,22.0,1.551,65,15
622,2016-08-05,3.5,75.138,6.6,0.87,65,15
623,2016-08-06,3.0,99.842,9.9,1.156,65,15
624,2016-08-07,0.0,76.194,4.7,0.882,65,15
625,2016-08-08,0.0,60.593,3.6,0.701,65,15
650,2016-09-02,3.5,27.696,5.7,0.321,69,16
651,2016-09-03,32.5,1314.055,36.1,15.209,69,16
652,2016-09-04,5.5,464.186,32.9,5.373,69,16
653,2016-09-05,0.0,87.684,8.9,1.015,69,16
654,2016-09-06,0.0,59.784,7.0,0.692,69,16
666,2016-09-18,0.0,24.984,3.3,0.289,71,17
667,2016-09-19,22.5,94.746,30.1,1.097,71,17
668,2016-09-20,0.0,87.329,23.2,1.011,71,17
755,2016-12-16,3.0,8.557,3.6,0.099,80,18
756,2016-12-17,40.0,143.11,48.4,1.656,80,18
763,2016-12-24,0.0,7.243,2.7,0.084,81,19
764,2016-12-25,50.5,157.052,116.0,1.818,81,19
847,2017-03-18,0.5,18.308,8.9,0.212,89,20
848,2017-03-19,28.5,146.094,30.6,1.691,89,20
849,2017-03-20,7.0,129.263,17.2,1.496,89,20
850,2017-03-21,0.0,47.474,8.1,0.549,89,20
850,2017-03-21,0.0,47.474,8.1,0.549,90,21
851,2017-03-22,29.0,160.943,39.8,1.863,90,21
852,2017-03-23,5.0,397.665,55.5,4.603,90,21
853,2017-03-24,4.5,69.278,9.9,0.802,90,21
854,2017-03-25,2.0,58.533,6.3,0.677,90,21
855,2017-03-26,2.0,40.898,3.2,0.473,90,21
856,2017-03-27,0.0,34.848,3.3,0.403,90,21
1063,2017-10-20,0.0,3.484,5.1,0.04,101,22
1064,2017-10-21,50.0,108.149,67.4,1.252,101,22
1191,2018-02-25,0.0,8.09,4.1,0.094,113,23
1192,2018-02-26,50.0,144.378,22.7,1.671,113,23
1193,2018-02-27,8.5,88.964,16.2,1.03,113,23
1408,2018-10-10,0.0,10.139,2.7,0.117,127,24
1409,2018-10-11,32.5,113.147,55.5,1.31,127,24
1410,2018-10-12,3.5,45.469,21.7,0.526,127,24
1457,2018-11-28,0.5,6.378,2.2,0.074,131,25
1458,2018-11-29,82.0,688.709,96.5,7.971,131,25
1459,2018-11-30,0.0,138.741,19.2,1.606,131,25
1460,2018-12-01,0.0,48.462,5.3,0.561,131,25
1478,2018-12-19,0.0,18.641,2.9,0.216,133,26
1479,2018-12-20,35.0,383.222,55.5,4.435,133,26
1480,2018-12-21,14.5,316.642,56.2,3.665,133,26
1481,2018-12-22,0.0,111.772,17.6,1.294,133,26
1482,2018-12-23,0.5,48.453,5.5,0.561,133,26
1483,2018-12-24,0.0,31.341,3.4,0.363,133,26
1513,2019-01-23,3.0,11.288,3.1,0.131,137,27
1514,2019-01-24,11.5,215.747,67.9,2.497,137,27
1890,2020-02-06,0.0,2.605,4.2,0.03,154,28
1891,2020-02-07,9.5,6.264,6.6,0.072,154,28
1892,2020-02-08,15.0,22.214,9.5,0.257,154,28
1893,2020-02-09,30.0,97.234,25.5,1.125,154,28
1894,2020-02-10,71.5,1611.146,124.7,18.648,154,28
1895,2020-02-11,4.0,489.512,24.4,5.666,154,28
1896,2020-02-12,3.5,100.24,7.6,1.16,154,28
1896,2020-02-12,3.5,100.24,7.6,1.16,155,29
1897,2020-02-13,19.0,74.573,10.0,0.863,155,29
1898,2020-02-14,3.5,105.304,16.7,1.219,155,29
1899,2020-02-15,1.5,64.204,5.3,0.743,155,29
1901,2020-02-17,0.0,70.754,28.3,0.819,157,30
1902,2020-02-18,35.0,400.799,95.1,4.639,157,30
1903,2020-02-19,7.5,117.127,19.5,1.356,157,30
1904,2020-02-20,0.0,385.921,175.1,4.467,157,30
1905,2020-02-21,0.0,67.919,12.4,0.786,157,30
1916,2020-03-03,0.0,19.89,2.2,0.23,159,31
1917,2020-03-04,6.5,21.26,2.5,0.246,159,31
1918,2020-03-05,7.0,53.212,9.2,0.616,159,31
1919,2020-03-06,24.0,132.623,23.0,1.535,159,31
1920,2020-03-07,2.0,161.277,15.1,1.867,159,31
1921,2020-03-08,0.5,77.946,4.6,0.902,159,31
1922,2020-03-09,2.0,61.107,2.5,0.707,159,31
1923,2020-03-10,0.5,53.234,2.4,0.616,159,31
1924,2020-03-11,0.5,47.874,2.1,0.554,159,31
1925,2020-03-12,0.0,42.087,2.1,0.487,159,31
1938,2020-03-25,0.0,19.873,1.3,0.23,162,32
1939,2020-03-26,36.0,55.426,11.7,0.642,162,32
1940,2020-03-27,4.5,199.303,45.2,2.307,162,32
1941,2020-03-28,0.5,52.473,4.3,0.607,162,32
1946,2020-04-02,0.0,21.718,1.6,0.251,164,33
1947,2020-04-03,7.5,33.828,3.4,0.392,164,33
1948,2020-04-04,9.5,56.479,9.1,0.654,164,33
1949,2020-04-05,13.5,243.799,53.8,2.822,164,33
1950,2020-04-06,0.0,128.158,9.0,1.483,164,33
1951,2020-04-07,0.0,83.477,3.6,0.966,164,33
1952,2020-04-08,0.0,67.991,2.4,0.787,164,33
1973,2020-04-29,0.0,20.873,1.7,0.242,166,34
1974,2020-04-30,19.5,32.005,9.7,0.37,166,34
1975,2020-05-01,16.0,136.381,40.7,1.578,166,34
1976,2020-05-02,3.0,71.011,9.4,0.822,166,34
1977,2020-05-03,0.5,49.444,4.1,0.572,166,34
2061,2020-07-26,2.0,13.259,2.9,0.153,171,35
2062,2020-07-27,35.5,72.948,30.5,0.844,171,35
2063,2020-07-28,22.0,477.087,70.2,5.522,171,35
2064,2020-07-29,9.0,491.02,38.7,5.683,171,35
2065,2020-07-30,0.0,183.976,13.9,2.129,171,35
2066,2020-07-31,0.0,117.188,7.8,1.356,171,35
2067,2020-08-01,0.0,86.831,5.8,1.005,171,35
2068,2020-08-02,0.0,71.092,4.8,0.823,171,35
2069,2020-08-03,0.0,59.986,4.3,0.694,171,35
2073,2020-08-07,0.0,39.133,3.1,0.453,172,36
2074,2020-08-08,15.0,100.295,17.2,1.161,172,36
2075,2020-08-09,0.0,137.107,16.1,1.587,172,36
2076,2020-08-10,10.5,109.399,10.1,1.266,172,36
2077,2020-08-11,15.0,470.076,41.3,5.441,172,36
2078,2020-08-12,1.0,228.441,12.2,2.644,172,36
2079,2020-08-13,0.0,141.267,6.7,1.635,173,37
2080,2020-08-14,8.0,195.074,18.7,2.258,173,37
2080,2020-08-14,8.0,195.074,18.7,2.258,174,38
2081,2020-08-15,15.5,155.971,9.9,1.805,174,38
2082,2020-08-16,0.5,248.724,15.4,2.879,174,38
2083,2020-08-17,0.0,145.981,6.6,1.69,174,38
2084,2020-08-18,0.0,113.837,5.8,1.318,174,38
2085,2020-08-19,0.0,95.9,5.0,1.11,174,38
2085,2020-08-19,0.0,95.9,5.0,1.11,175,39
2086,2020-08-20,8.5,87.83,6.2,1.017,175,39
2087,2020-08-21,0.5,106.397,12.8,1.231,175,39
2088,2020-08-22,2.0,76.214,6.5,0.882,176,40
2089,2020-08-23,8.5,107.409,10.1,1.243,176,40
2090,2020-08-24,0.5,99.039,9.6,1.146,176,40
2091,2020-08-25,1.0,79.01,6.2,0.914,176,40
2092,2020-08-26,0.0,65.709,5.6,0.761,176,40
2093,2020-08-27,0.0,59.602,5.1,0.69,176,40
2142,2020-10-24,3.0,12.576,4.6,0.146,180,41
2143,2020-10-25,26.5,45.934,23.4,0.532,180,41
2144,2020-10-26,17.0,78.818,33.9,0.912,180,41
2145,2020-10-27,10.5,115.101,24.6,1.332,180,41
2146,2020-10-28,0.5,62.803,9.4,0.727,180,41
2208,2020-12-29,2.0,25.699,5.1,0.297,191,42
2209,2020-12-30,17.0,127.136,39.5,1.471,191,42
2210,2020-12-31,1.0,77.027,17.9,0.892,191,42
2213,2021-01-03,0.5,46.735,7.6,0.541,193,43
2214,2021-01-04,17.5,50.724,14.7,0.587,193,43
2215,2021-01-05,12.0,193.464,61.9,2.239,193,43
2216,2021-01-06,0.5,138.354,16.7,1.601,193,43
2217,2021-01-07,4.5,71.75,7.7,0.83,193,43
2218,2021-01-08,4.0,70.322,7.4,0.814,193,43
2219,2021-01-09,0.5,56.396,6.2,0.653,193,43
2220,2021-01-10,0.0,44.113,5.2,0.511,193,43
2242,2021-02-01,0.0,12.427,4.6,0.144,195,44
2243,2021-02-02,27.0,10.839,6.3,0.125,195,44
2244,2021-02-03,5.0,113.837,46.9,1.318,195,44
2439,2021-08-23,0.0,13.297,21.5,0.154,217,45
2440,2021-08-24,10.5,19.984,28.7,0.231,217,45
2441,2021-08-25,44.0,292.107,161.5,3.381,217,45
2442,2021-08-26,1.0,299.109,43.7,3.462,217,45
2443,2021-08-27,0.0,168.034,25.7,1.945,217,45
2444,2021-08-28,0.0,102.182,24.4,1.183,217,45
2445,2021-08-29,0.0,75.235,17.6,0.871,217,45
2446,2021-08-30,1.0,62.158,12.4,0.719,217,45
2447,2021-08-31,0.0,55.966,11.7,0.648,217,45
2515,2021-11-07,0.0,23.568,53.0,0.273,228,46
2516,2021-11-08,25.5,42.996,78.2,0.498,228,46
2517,2021-11-09,9.0,173.083,80.6,2.003,228,46
2518,2021-11-10,0.0,38.967,20.5,0.451,229,47
2519,2021-11-11,17.0,83.726,35.1,0.969,229,47
2520,2021-11-12,24.0,140.929,35.6,1.631,229,47
2521,2021-11-13,8.5,396.039,40.0,4.584,229,47
2522,2021-11-14,0.0,137.679,12.5,1.594,229,47
2523,2021-11-15,3.5,90.361,8.6,1.046,229,47
2524,2021-11-16,0.0,72.322,7.0,0.837,229,47
2525,2021-11-17,0.0,54.729,5.5,0.633,229,47
2533,2021-11-25,2.5,40.353,3.5,0.467,232,48
2534,2021-11-26,18.0,78.241,33.1,0.906,232,48
2535,2021-11-27,27.5,379.524,63.6,4.393,232,48
2536,2021-11-28,8.0,273.165,22.4,3.162,232,48
2537,2021-11-29,0.5,170.74,14.2,1.976,232,48
2538,2021-11-30,0.0,119.155,10.7,1.379,232,48
2539,2021-12-01,0.0,93.962,8.4,1.088,232,48
2539,2021-12-01,0.0,93.962,8.4,1.088,233,49
2540,2021-12-02,0.5,105.569,19.4,1.222,233,49
2541,2021-12-03,0.5,91.922,13.3,1.064,233,49
2542,2021-12-04,0.0,95.827,17.1,1.109,233,49
2546,2021-12-08,5.0,69.824,9.9,0.808,237,50
2547,2021-12-09,10.5,87.972,22.8,1.018,237,50
2548,2021-12-10,10.0,145.553,54.6,1.685,237,50
2549,2021-12-11,0.0,137.838,28.8,1.595,237,50
2550,2021-12-12,0.0,85.064,8.2,0.985,237,50
2551,2021-12-13,0.0,69.622,6.0,0.806,237,50
2552,2021-12-14,0.0,58.847,4.9,0.681,237,50
2730,2023-11-24,0.0,7.518,1.7,0.087,251,51
2731,2023-11-25,11.5,9.031,2.6,0.105,251,51
2732,2023-11-26,23.0,192.303,417.5,2.226,251,51
2733,2023-11-27,0.5,73.676,38.5,0.853,251,51
2755,2023-12-19,0.0,7.553,2.0,0.087,254,52
2756,2023-12-20,51.0,8.433,3.7,0.098,254,52
2757,2023-12-21,69.5,544.251,189.1,6.299,254,52
2758,2023-12-22,0.0,140.055,24.1,1.621,254,52
2759,2023-12-23,0.0,72.915,10.5,0.844,254,52
2769,2024-01-02,0.0,21.858,8.1,0.253,257,53
2770,2024-01-03,3.0,68.321,42.4,0.791,257,53
2771,2024-01-04,6.5,90.261,60.5,1.045,257,53
2772,2024-01-05,28.5,160.552,78.3,1.858,257,53
2773,2024-01-06,0.0,120.8,21.9,1.398,257,53
2774,2024-01-07,0.0,68.664,12.2,0.795,257,53
2781,2024-01-14,0.0,31.544,5.3,0.365,261,54
2782,2024-01-15,0.0,29.432,4.9,0.341,261,54
2783,2024-01-16,8.0,116.556,37.8,1.349,261,54
2784,2024-01-17,1.5,72.109,10.1,0.835,261,54
2785,2024-01-18,34.5,192.463,80.7,2.228,261,54
2786,2024-01-19,0.5,179.261,26.9,2.075,261,54
2787,2024-01-20,0.0,93.33,17.5,1.08,261,54
2788,2024-01-21,0.0,66.368,7.4,0.768,261,54
2789,2024-01-22,0.0,53.656,5.2,0.621,261,54
2804,2024-02-06,0.0,18.422,2.1,0.213,262,55
2805,2024-02-07,43.0,131.866,107.2,1.526,262,55
2806,2024-02-08,0.0,44.159,19.3,0.511,262,55
2891,2024-05-03,0.0,31.338,13.1,0.363,269,56
2892,2024-05-04,2.5,31.78,21.8,0.368,269,56
2893,2024-05-05,6.0,40.287,37.2,0.466,269,56
2894,2024-05-06,4.0,118.909,105.9,1.376,269,56
2895,2024-05-07,1.5,89.796,40.1,1.039,269,56
2896,2024-05-08,0.0,69.008,44.4,0.799,269,56
2899,2024-05-11,0.5,45.337,17.2,0.525,272,57
2900,2024-05-12,9.0,142.247,209.9,1.646,272,57
2901,2024-05-13,0.0,230.341,130.5,2.666,272,57
2902,2024-05-14,0.0,121.764,168.6,1.409,272,57
2903,2024-05-15,0.0,87.934,199.1,1.018,272,57
2904,2024-05-16,0.0,70.652,167.2,0.818,272,57
2905,2024-05-17,0.0,61.688,364.1,0.714,272,57
2919,2024-05-31,0.0,27.699,325.3,0.321,275,58
2920,2024-06-01,3.0,38.754,281.6,0.449,275,58
2921,2024-06-02,6.0,82.361,160.9,0.953,275,58
2922,2024-06-03,0.0,91.034,145.4,1.054,275,58
2923,2024-06-04,0.0,52.783,98.7,0.611,275,58
2925,2024-06-06,0.0,39.33,166.1,0.455,276,59
2926,2024-06-07,15.5,81.438,203.5,0.943,276,59
2927,2024-06-08,9.0,201.919,376.1,2.337,276,59
2928,2024-06-09,0.0,138.708,333.8,1.605,276,59
2929,2024-06-10,0.0,93.926,417.7,1.087,276,59
2930,2024-06-11,0.0,76.646,471.0,0.887,276,59
2931,2024-06-12,0.0,66.376,538.1,0.768,276,59
2932,2024-06-13,1.5,61.562,525.7,0.713,276,59
2933,2024-06-14,0.0,51.566,489.0,0.597,277,60
2934,2024-06-15,2.0,50.285,466.2,0.582,277,60
2935,2024-06-16,6.0,91.163,412.1,1.055,277,60
2936,2024-06-17,0.0,70.302,375.0,0.814,277,60
2937,2024-06-18,0.0,55.848,333.6,0.646,277,60
